taxon_name,mean_fri,mean_fires,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,warnings,messages,error
Scaevola humilis,164.88937500000006,0.134453781512605,0.16739495798319323,0.10151260504201678,1.462368421052632,1.7626201124160082e-10,421,476,NA,NA,NA
Scaevola microphylla,67.77685714285714,0.3271028037383178,0.4354721156530397,0.21873349182359586,1.3137466307277623,0.01675373934389755,81,107,NA,NA,NA
Scaevola nitida,70.80096774193547,0.3131313131313132,0.42336179950653385,0.20290082675609256,1.15009874917709,0.14700453595222215,75,99,NA,NA,NA
Scaevola paludosa,NA,NA,NA,NA,NA,NA,3,3,NA,"Error: no valid set of coefficients has been found: please supply starting values
","Error: no valid set of coefficients has been found: please supply starting values
"
Scaevola parvibarbata,160.64723076923082,0.13800424628450103,0.17155419360226143,0.10445429896674062,1.1105073649754502,0.04876635259127137,413,471,NA,NA,NA
Scaevola parvifolia,11.98158088235294,1.850340136054422,1.9772988636729616,1.7233814084358825,0.6609625668449197,0.9999999947411878,43,441,NA,NA,NA
Scaevola parvifolia subsp. parvifolia,14.140480769230772,1.5678391959798994,1.7418115708341968,1.393866821125602,1.600459725459726,1.6207480571959963e-7,54,199,NA,NA,NA
Scaevola phlebopetala,76.01142857142857,0.2916666666666667,0.3798767483949959,0.20345658493833746,1.0489510489510487,0.3275721528079959,109,144,NA,NA,NA
Scaevola pilosa,65.20588235294117,0.34,0.5016257405242123,0.17837425947578775,1.033613445378151,0.4083574976675546,36,50,NA,NA,NA
Scaevola platyphylla,68.52545454545455,0.3235294117647059,0.4587237483713812,0.18833507515803058,5.115332428765265,1.23851924130864e-38,58,68,NA,NA,NA
Scaevola ramosissima,30.528675312644747,0.7262024890682811,0.7568353446414507,0.6955696334951115,0.7409295465412243,1,1256,2973,NA,NA,NA
Scaevola revoluta,4.390951456310678,5.049019607843139,5.485092925629492,4.612946290056786,1.9506873017398818,3.609496117245137e-8,6,102,NA,NA,NA
Scaevola spinescens,221.12944852941183,0.1002580169553999,0.11217292595091868,0.08834310795988112,1.6577059474232172,3.486994969415171e-92,2497,2713,NA,NA,NA
Scaevola striata,62.426052631578955,0.35514018691588783,0.46805842472728215,0.24222194910449352,1.1290963257199604,0.1716860615423856,77,107,NA,NA,NA
Scaevola taccada,59.12000000000004,0.3749999999999998,0.46162058069535183,0.2883794193046477,6.85514834205934,6.89758966624409e-166,174,192,NA,NA,NA
Schelhammera undulata,42.59658450704225,0.5204642638973733,0.5554126551715087,0.485515872623238,0.749946910476715,0.9999999999999978,895,1637,NA,NA,NA
Schenkia australis,136.7287360594796,0.16214587100663047,0.18152283915312786,0.14276890286013308,1.5971811785597378,8.72101059209517e-49,1451,1659,NA,NA,NA
Schizachyrium fragile,4.304965233067216,5.149867374005305,5.222308204161609,5.077426543849001,3.4457929595893457,0,500,3770,NA,NA,NA
Schizachyrium pseudeulalia,6.754921875000001,3.282051282051282,3.496956731958298,3.067145832144266,3.7697035845588234,7.546606120791732e-88,65,273,NA,NA,NA
Schizacme archeri,317.77,0.06976744186046513,0.1487167344845349,-0.009181850763604643,0.9523809523809522,0.5590925842313249,40,43,NA,NA,NA
Schizacme montana,92.18052631578949,0.24050632911392403,0.3486511636625281,0.13236149456531998,0.8758434547908235,0.7751783587080592,61,79,NA,NA,NA
Schizaea bifida,31.234884366327485,0.7097833223900195,0.7520958544407566,0.6674707903392825,1.149435780613901,3.986751655472115e-5,777,1523,NA,NA,NA
Schizaea dichotoma,19.201367521367526,1.1546052631578945,1.2400176873256703,1.0691928389901186,4.590837193802598,2.430972520409835e-275,354,608,NA,NA,NA
Schizaea fistulosa,54.55747826086957,0.40636042402826855,0.48063130168811546,0.33208954636842164,0.9098982423681777,0.8589338403494927,184,283,NA,NA,NA
Schizaea rupestris,41.87666666666666,0.5294117647058825,0.6706176439957363,0.38820588541602863,0.8492849284928492,0.860503342811126,56,102,NA,NA,NA
Schizomeria ovata,95.51321917808218,0.2321144674085851,0.2538525495980151,0.21037638521915508,1.1429204375426718,1.2975912408240121e-5,1518,1887,NA,NA,NA
Schoenia ayersii,64.31736263736263,0.3446969696969697,0.415519728590046,0.27387421080389346,1.4961350436635603,3.17479797999663e-7,204,264,NA,NA,NA
Schoenia cassiniana,124.88568345323743,0.17752234993614302,0.20703455836551865,0.1480101415067674,1.5870945187583951,1.8737160344305013e-23,687,783,NA,NA,NA
Schoenia ramosissima,157.40700000000004,0.1408450704225352,0.2025731441675998,0.07911699667747057,1.469503546099291,2.3997855006918948e-4,127,142,NA,NA,NA
Schoenolaena juncea,86.2166666666667,0.25714285714285706,0.35413770236671416,0.16014801191899997,1.1239316239316242,0.1827297818982105,83,105,NA,NA,NA
Schoenoplectiella dissachantha,29.468765432098767,0.7523219814241486,0.8469144775402941,0.6577294853080031,3.765508780001533,2.474620643865923e-103,222,323,NA,NA,NA
Schoenoplectiella laevis,11.423473282442751,1.9407407407407404,2.1757434929646498,1.7057379885168311,5.212373248262506,3.40246604248094e-77,62,135,NA,NA,NA
Schoenoplectiella lateriflora,6.2379467680608345,3.5540540540540557,3.983592682308713,3.1245154257993986,5.397208187926452,1.559737741148222e-45,26,74,NA,NA,NA
Schoenoplectus pungens,185.9816666666666,0.11920529801324509,0.15099999931029826,0.08741059671619192,1.9220747295968523,1.2150831121412228e-28,417,453,NA,NA,NA
Schoenoplectus subulatus,23.681590909090914,0.9361702127659574,1.023645333719723,0.8486950918121915,6.217968598565615,0,330,470,NA,NA,NA
Schoenoplectus tabernaemontani,213.69019354838713,0.1037483266398929,0.1200815282543895,0.0874151250253963,1.284208024544649,4.546784771149818e-13,1364,1494,NA,NA,NA
Schoenus absconditus,NA,NA,NA,NA,NA,NA,18,18,NA,"Error: no valid set of coefficients has been found: please supply starting values
","Error: no valid set of coefficients has been found: please supply starting values
"
Schoenus acuminatus,41.87666666666668,0.5294117647058822,0.773987521963347,0.2848360074484175,1.2861952861952866,0.125588295226214,22,34,NA,NA,NA
Schoenus andrewsii,125.63,0.17647058823529413,0.3761658578138235,-0.02322468134323527,0.875,0.5987138355230368,14,17,NA,NA,NA
Schoenus apogon,80.57162656400396,0.2751588983050844,0.284818767199974,0.26549902941019476,1.193987247416954,2.4304587231844106e-43,8846,11328,NA,NA,NA
Schoenus asperocarpus,76.58727272727273,0.2894736842105263,0.460541699713068,0.11840566870798466,1.1031941031941033,0.3062882099250899,29,38,NA,NA,NA
Schoenus breviculmis,78.91348017621145,0.28094059405940597,0.3067835770267442,0.25509761109206774,1.0280656292194597,0.211308184597754,1229,1616,NA,NA,NA
Schoenus brevifolius,31.86836137527432,0.6956743002544531,0.732553184562625,0.6587954159462812,1.1944727106944755,4.485356240405523e-9,1042,1965,NA,NA,NA
Schoenus brevisetis,57.25219780219782,0.3872340425531914,0.46679663126711535,0.3076714538392674,1.211327134404058,0.014909777685674907,167,235,NA,NA,NA
Schoenus caespititius,52.140555555555544,0.4251968503937009,0.5386062967524812,0.31178740403492067,1.1019988242210457,0.20461166259050823,85,127,NA,NA,NA
Schoenus calyptratus,30.78382165605096,0.720183486238532,0.8328382092148516,0.6075287632622124,0.7162229592885028,0.9994442253575397,92,218,NA,NA,NA
Schoenus carsei,62.815,0.35294117647058826,0.45968278797377654,0.24619956496739998,1.1807909604519773,0.08760696116954625,87,119,NA,NA,NA
Schoenus centralis,39.223846153846154,0.5652173913043479,0.7824799618835188,0.3479548207251771,1.1521367521367518,0.22437811164588528,29,46,NA,NA,NA
Schoenus clandestinus,54.27827586206896,0.4084507042253522,0.5135698259682625,0.30333158248244185,2.540474443629249,7.292048869664655e-21,103,142,NA,NA,NA
Schoenus curvifolius,81.12204545454549,0.2732919254658384,0.3303926390636889,0.21619121186798795,1.1849334466156902,0.012603252101443176,252,322,NA,NA,NA
Schoenus deformis,153.80437500000002,0.14414414414414414,0.21477477477477477,0.07351351351351351,0.8636363636363636,0.8451406964603004,95,111,NA,NA,NA
Schoenus discifer,30.742400000000004,0.7211538461538461,0.8843663260978365,0.5579413662098558,1.008543689320388,0.4571659277149349,55,104,NA,NA,NA
Schoenus efoliatus,48.6228409090909,0.45595854922279805,0.5512250247591082,0.360692073686488,1.2550899621212117,0.009459653575013981,134,193,NA,NA,NA
Schoenus ericetorum,29.90231607629428,0.7414141414141414,0.7852090150103066,0.6976192678179762,1.1058337066768509,0.0025618025755543197,761,1485,NA,NA,NA
Schoenus fluitans,75.87066666666666,0.29220779220779225,0.37758493316687514,0.2068306512487094,0.9808278867102395,0.5519491496835626,115,154,NA,NA,NA
Schoenus grandiflorus,49.88250000000001,0.4444444444444444,0.6392308104844261,0.24965807840446275,0.8750000000000001,0.705668342988131,28,45,NA,NA,NA
Schoenus griffinianus,44.340000000000025,0.4999999999999998,1.4799999999999998,-0.4800000000000002,1.0000000000000004,0.31731050786291404,1,2,NA,NA,NA
Schoenus imberbis,37.24919028340082,0.5951807228915661,0.6476664784469276,0.5426949673362046,0.932258269316234,0.9185129951274322,447,830,NA,NA,NA
Schoenus insolitus,177.35999999999999,0.12500000000000003,0.26645081595145836,-0.01645081595145828,1.6086956521739126,0.03251348710432235,22,24,NA,NA,NA
Schoenus kennyi,23.922976744186048,0.9267241379310345,1.05060017872968,0.802848097132389,1.3722138326789488,1.4728871885571262e-4,113,232,NA,NA,NA
Schoenus laevigatus,47.553043478260875,0.4662162162162162,0.576222856562969,0.3562095758694633,1.0918860297742286,0.21085707111427826,95,148,NA,NA,NA
Schoenus latelaminatus,104.8036363636364,0.21153846153846148,0.2674451885950288,0.15563173448189416,1.0470340470340473,0.28901866267446064,211,260,NA,NA,NA
Schoenus latitans,238.32750000000001,0.09302325581395349,0.1841860465116279,0.0018604651162790753,0.9285714285714287,0.6034167099544734,39,43,NA,NA,NA
Schoenus lepidosperma,54.05835616438357,0.4101123595505618,0.45715238017084936,0.36307233893027424,0.8719341849218737,0.9939344020787101,459,712,NA,NA,NA
Schoenus lepidosperma subsp. lepidosperma,80.8038157894737,0.27436823104693137,0.336053732341803,0.21268272975205973,1.1244279176201375,0.07589732747826544,216,277,NA,NA,NA
Schoenus lepidosperma subsp. pachylepis,24.00656804733728,0.9234972677595629,1.0627322404371584,0.7842622950819672,0.8503803888419273,0.9292186877231203,64,183,NA,NA,NA
Schoenus maschalinus,42.84743842364531,0.5174171622769755,0.558512093205329,0.47632223134862206,0.8215402745663122,0.9999979029814631,669,1177,NA,NA,NA
Schoenus melanostachys,36.86305882352941,0.6014150943396228,0.6383239269674952,0.5645062617117504,0.9972121001793045,0.5278169697851107,937,1696,NA,NA,NA
Schoenus moorei,26.794417177914106,0.8274111675126906,0.9544345424173366,0.7003877926080446,0.8147614874170526,0.972999925033539,78,197,NA,NA,NA
Schoenus nanus,131.83232142857148,0.16816816816816813,0.19931334876688642,0.13702298756944983,0.9046186895810957,0.9624129514844472,558,666,NA,NA,NA
Schoenus nitens,138.21609375000003,0.16040100250626566,0.18818905846868436,0.13261294654384695,1.4038582183186947,3.158293860208162e-13,693,798,NA,NA,NA
Schoenus obtusifolius,118.76785714285715,0.18666666666666668,0.284448646374359,0.08888468695897435,0.9691119691119692,0.553645748830961,62,75,NA,NA,NA
Schoenus paludosus,25.99241379310345,0.8529411764705883,0.9917736786731348,0.7141086742680418,1.0497857580085697,0.31334442220818415,76,170,NA,NA,NA
Schoenus pedicellatus,66.51000000000002,0.33333333333333326,0.5303207451241388,0.1363459215425277,1.0625,0.3714536560753676,24,33,NA,NA,NA
Schoenus pleiostemoneus,96.99375,0.2285714285714286,0.3077673880643219,0.14937546907853527,0.9658273381294962,0.5979655897603602,111,140,NA,NA,NA
Schoenus punctatus,4.050000000000001,5.474074074074074,5.868753531101832,5.079394617046316,3.3068487064003387,9.932279813107501e-35,16,135,NA,NA,NA
